"id","filename","relative_path","extension","bytes","size_kb","width","height","megapixels","orientation","aspect_ratio","horizontal_dpi","vertical_dpi","pixel_format","sampled_average_color","sha256","exact_duplicate"
"1","ChatGPT Image Jun 14, 2026, 01_53_20 PM (1).png","ChatGPT Image Jun 14, 2026, 01_53_20 PM (1).png","png","1962578","1916.6","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#1A2C39","46b6a895c996e79b58e8fd68c2d16efdcdd84cc86ee18c7a66571a0f63e1ba65","False"
"2","ChatGPT Image Jun 14, 2026, 01_53_20 PM (2).png","ChatGPT Image Jun 14, 2026, 01_53_20 PM (2).png","png","2029581","1982","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#131F2E","35718b96533bad7ff676cb749f6a560f537ed46d98807bc4a4403be2421f31a3","False"
"3","ChatGPT Image Jun 14, 2026, 01_53_22 PM (3).png","ChatGPT Image Jun 14, 2026, 01_53_22 PM (3).png","png","1947244","1901.6","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#18212B","5a2732d2e2d985f25479231c45383d1cfcbe321cb4a874f9bad7a88e1613ee10","False"
"4","ChatGPT Image Jun 14, 2026, 01_53_23 PM (4).png","ChatGPT Image Jun 14, 2026, 01_53_23 PM (4).png","png","2085026","2036.2","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#202A34","5943a27f1308ec73b116ac34e8002ec1cc099ca63419a447689b543551771265","False"
"5","ChatGPT Image Jun 14, 2026, 01_53_23 PM (5).png","ChatGPT Image Jun 14, 2026, 01_53_23 PM (5).png","png","2283498","2230","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#1B2832","34c08b7522f67b8e6322a4faf8dec03aebc25bacba404f85c29a3d68e35991fa","False"
"6","ChatGPT Image Jun 14, 2026, 01_53_24 PM (6).png","ChatGPT Image Jun 14, 2026, 01_53_24 PM (6).png","png","2008351","1961.3","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#2B2113","3cfe1d7ad89329d26e8b06179b14137c594bf23a07b8a7e2494e70f9ccb31754","False"
"7","ChatGPT Image Jun 14, 2026, 01_53_24 PM (7).png","ChatGPT Image Jun 14, 2026, 01_53_24 PM (7).png","png","2256853","2204","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#2E302F","938e1179ae312dee038a1f5daf54733296e44320b0166802fa01eb74237d7d00","False"
"8","ChatGPT Image Jun 14, 2026, 01_53_24 PM (8).png","ChatGPT Image Jun 14, 2026, 01_53_24 PM (8).png","png","2318331","2264","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#22282C","8ad5390fbcbfebbdbfedc76cc0a0e1f91048b5ee8fbbbb805e3dbd782ba8a9b3","False"
"9","ChatGPT Image Jun 14, 2026, 01_53_25 PM (9).png","ChatGPT Image Jun 14, 2026, 01_53_25 PM (9).png","png","2149835","2099.4","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#1A3331","e0e342ac8a1da6e1c543c29c8ebdc0d87cd058079fbb7dcc8765de103de4479d","False"
"10","ChatGPT Image Jun 14, 2026, 01_54_03 PM (1).png","ChatGPT Image Jun 14, 2026, 01_54_03 PM (1).png","png","1955663","1909.8","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#121F3C","590d942a45b9a0b0fd096f39a2e7c2c926e9e03db995f48e738ce5822252f574","False"
"11","ChatGPT Image Jun 14, 2026, 01_54_03 PM (2).png","ChatGPT Image Jun 14, 2026, 01_54_03 PM (2).png","png","1845312","1802.1","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#1E2534","18604df0680ef0b2f659b890c379a8d558d68e7eafa628dc45af1af3cb40fb5c","False"
"12","ChatGPT Image Jun 14, 2026, 01_54_03 PM (3).png","ChatGPT Image Jun 14, 2026, 01_54_03 PM (3).png","png","2071371","2022.8","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#2B2112","c1507f9f6507933b50c10b536a778fca736d0c42b5289ba2c307aab41039b39d","False"
"13","ChatGPT Image Jun 14, 2026, 01_54_04 PM (4).png","ChatGPT Image Jun 14, 2026, 01_54_04 PM (4).png","png","2246526","2193.9","1122","1402","1.57","portrait","0.8","96","96","Format24bppRgb","#2D2012","bf07c7b205f26e748ad5b954b8b20b0769bba46a2949f8a8f6f2ea9cb436989b","False"
